=============LOG START=============
clock_rate = 6
[Internal event], [System time]: 2023-03-06 20:17:18.563417, [Logical Clock Time]: 159
[Receive]: 159, [System time]: 2023-03-06 20:17:18.730287, [Message Queue Length]: 0, [Logical Clock Time]: 160
[Send]: 161, [System time]: 2023-03-06 20:17:18.897286, [Logical Clock Time]: 161
[Send]: 162, [System time]: 2023-03-06 20:17:19.064180, [Logical Clock Time]: 162
[Send]: 163, [System time]: 2023-03-06 20:17:19.231133, [Logical Clock Time]: 163
[Internal event], [System time]: 2023-03-06 20:17:19.397927, [Logical Clock Time]: 164
[Send]: 165, [System time]: 2023-03-06 20:17:19.564923, [Logical Clock Time]: 165
[Internal event], [System time]: 2023-03-06 20:17:19.731732, [Logical Clock Time]: 166
[Send]: 167, [System time]: 2023-03-06 20:17:19.898718, [Logical Clock Time]: 167
[Internal event], [System time]: 2023-03-06 20:17:20.065545, [Logical Clock Time]: 168
[Receive]: 169, [System time]: 2023-03-06 20:17:20.232421, [Message Queue Length]: 0, [Logical Clock Time]: 170
[Internal event], [System time]: 2023-03-06 20:17:20.399335, [Logical Clock Time]: 171
[Internal event], [System time]: 2023-03-06 20:17:20.566242, [Logical Clock Time]: 172
[Internal event], [System time]: 2023-03-06 20:17:20.733114, [Logical Clock Time]: 173
[Internal event], [System time]: 2023-03-06 20:17:20.900015, [Logical Clock Time]: 174
[Receive]: 173, [System time]: 2023-03-06 20:17:21.066903, [Message Queue Length]: 0, [Logical Clock Time]: 175
[Receive]: 174, [System time]: 2023-03-06 20:17:21.233799, [Message Queue Length]: 0, [Logical Clock Time]: 176
[Internal event], [System time]: 2023-03-06 20:17:21.400746, [Logical Clock Time]: 177
[Internal event], [System time]: 2023-03-06 20:17:21.567654, [Logical Clock Time]: 178
[Internal event], [System time]: 2023-03-06 20:17:21.734523, [Logical Clock Time]: 179
[Internal event], [System time]: 2023-03-06 20:17:21.901479, [Logical Clock Time]: 180
